Image,Arena,City,State,Team,Conference,Capacity,Opened
,Conte Forum,Chestnut Hill,MA,Boston College,ACC,"8,606",1988
,Littlejohn Coliseum,Clemson,SC,Clemson,ACC,"9,000",1968
,Cameron Indoor Stadium,Durham,NC,Duke,ACC,"9,314",1940
,Donald L. Tucker Civic Center,Tallahassee,FL,Florida State,ACC,"12,100",1981
,Hank McCamish Pavilion,Atlanta,GA,Georgia Tech,ACC,"8,600",1956
,KFC Yum! Center,Louisville,KY,Louisville,ACC,"22,090",2010
,Watsco Center,Coral Gables,FL,Miami (FL),ACC,"7,972",2003
,Dean Smith Center,Chapel Hill,NC,North Carolina men,ACC,"21,750",1986
,Carmichael Arena,Chapel Hill,NC,North Carolina women,ACC,"8,010",1965
,PNC Arena,Raleigh,NC,North Carolina State men,ACC,"19,557",1999
,Reynolds Coliseum,Raleigh,NC,North Carolina State women,ACC,"5,500",1949
,Edmund P. Joyce Center,Notre Dame,IN,Notre Dame,ACC,"9,149",1968
,Petersen Events Center,Pittsburgh,PA,Pittsburgh,ACC,"12,508",2002
,JMA Wireless Dome,Syracuse,NY,Syracuse,ACC,"35,446",1980
,John Paul Jones Arena,Charlottesville,VA,Virginia,ACC,"14,593",2006
,Cassell Coliseum,Blacksburg,VA,Virginia Tech,ACC,"10,052",1962
,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,Wake Forest,ACC,"14,665",1989
,SEFCU Arena,Guilderland,NY,Albany,America East,"4,538",1992
,Binghamton University Events Center,Vestal,NY,Binghamton,America East,"5,142",2004
,Cross Insurance Center,Bangor,ME,Maine,America East,"5,800",2013
,Lundholm Gym,Durham,NH,New Hampshire,America East,"3,500",1938
,Chace Athletic Center,Smithfield,RI,Bryant,America East,"2,700",2001
,Wellness and Events Center,Newark,NJ,NJIT,America East,"3,500",2017
,Costello Athletic Center,Lowell,MA,UMass Lowell,America East,"2,100",1964
,Tsongas Center,Lowell,MA,UMass Lowell,America East,"6,496",1998
,Chesapeake Employers Insurance Arena,Catonsville,MD,UMBC,America East,"5,000",2018
,Patrick Gym,Burlington,VT,Vermont,America East,"3,228",1963
,Dale F. Halton Arena,Charlotte,NC,Charlotte,The American,"9,105",1996
,Williams Arena at Minges Coliseum,Greenville,NC,East Carolina,The American,"8,000",1968
