school,num_classes,reg_class_1,reg_class_2,small_class_1,small_class_2,small_class_3,small_class_4
1,4,-0.197,0.236,0.165,0.321,,
2,4,0.117,1.190,0.918,-0.202,,
3,5,-0.496,0.225,0.341,0.561,-0.059,
4,4,-1.104,-0.956,-0.024,-0.450,,
5,4,-0.126,0.106,-0.258,-0.083,,
6,4,-0.597,-0.495,1.151,0.707,,
7,4,0.685,0.270,0.077,0.371,,
8,6,-0.934,-0.633,-0.870,-0.496,-0.444,0.392
9,4,-0.891,-0.856,-0.568,-1.189,,
10,4,-0.473,-0.807,-0.727,-0.580,,
11,4,-0.383,0.313,-0.533,0.458,,
12,5,0.474,0.140,1.001,0.102,0.484,
13,4,0.205,0.296,0.855,0.509,,
14,4,0.742,0.175,0.618,0.978,,
15,4,-0.434,-0.293,-0.545,0.234,,
16,4,0.355,-0.130,-0.240,-0.150,,
